Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
0,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3459,3197,7622,2.203527031,0.924255565,,A,1,1,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2732,2593,6772,2.478770132,0.949121523,NEG,NOT DETECTED,A1,TRUE
1,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3089,3060,6478,2.097118809,0.990611848,,B,1,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2545,2680,5320,2.090373281,1.053045187,NEG,NOT DETECTED,B1,TRUE
2,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3032,3639,7469,2.463390501,1.200197889,,C,1,1,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2658,3123,7072,2.660647103,1.174943567,NEG,NOT DETECTED,C1,TRUE
3,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3230,3112,7928,2.454489164,0.963467492,,D,1,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2648,2642,7115,2.686933535,0.997734139,NEG,NOT DETECTED,D1,TRUE
4,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3139,4032,380,0.121057662,1.284485505,,E,1,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2615,3528,92,0.035181644,1.349139579,NEG,VOID,E1,TRUE
5,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3219,32453,9927,3.08387698,10.08170239,,F,1,3,POOL00008705,POS,DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2601,31301,8499,3.267589389,12.03421761,POS,DETECTED,F1,TRUE
6,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2826,2597,7566,2.677282378,0.918966737,,G,1,1,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2631,3593,146,0.055492208,1.365640441,NEG,VOID,G1,FALSE
7,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3397,3115,9445,2.780394466,0.916985576,,H,1,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2615,2600,7252,2.773231358,0.994263862,NEG,NOT DETECTED,H1,TRUE
8,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2972,3816,259,0.087146703,1.283983849,,I,1,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2591,3474,103,0.039752991,1.34079506,NEG,VOID,I1,TRUE
9,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3211,2968,7993,2.489255684,0.924322641,,J,1,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2948,2845,7588,2.57394844,0.965061058,NEG,NOT DETECTED,J1,TRUE
10,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3263,4004,145,0.044437634,1.227091633,,K,1,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2628,3558,146,0.055555556,1.353881279,NEG,VOID,K1,TRUE
11,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3406,3379,8346,2.450381679,0.992072813,,L,1,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,3083,3181,7904,2.56373662,1.03178722,NEG,NOT DETECTED,L1,TRUE
